timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709693781162,796,studio_apollographql,200,OK,GraphQL 3-4,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,791,0,48
1709693781811,158,graphql_braintreepayments,200,OK,GraphQL 3-47,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,120,0,23
1709693781791,179,graphql_braintreepayments,200,OK,GraphQL 3-46,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,154,0,24
1709693781919,69,buildkiteassets,200,OK,GraphQL 3-43,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,69,0,48
1709693781929,125,buildkiteassets,200,OK,GraphQL 3-42,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,125,0,53
1709693781618,437,studio_apollographql,200,OK,GraphQL 3-27,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,436,0,52
1709693781430,629,studio_apollographql,200,OK,GraphQL 3-15,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,628,0,53
1709693781534,525,studio_apollographql,200,OK,GraphQL 3-21,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,524,0,49
1709693781497,562,studio_apollographql,200,OK,GraphQL 3-20,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,562,0,47
1709693781580,480,studio_apollographql,200,OK,GraphQL 3-25,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,479,0,48
1709693781542,526,studio_apollographql,200,OK,GraphQL 3-23,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,516,0,51
1709693781528,552,studio_apollographql,200,OK,GraphQL 3-22,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,542,0,49
1709693781831,255,graphql_braintreepayments,200,OK,GraphQL 3-48,text,true,,102316,143,50,100,https://graphql.braintreepayments.com/explorer/,141,0,21
1709693781970,122,buildkiteassets,200,OK,GraphQL 3-46,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,122,0,89
1709693781950,142,buildkiteassets,200,OK,GraphQL 3-45,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,142,0,108
1709693781970,123,buildkiteassets,200,OK,GraphQL 3-47,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,123,0,92
1709693781946,147,buildkiteassets,200,OK,GraphQL 3-44,text,true,,1121,151,50,100,https://buildkiteassets.com/graphql-explorer/index.html,147,0,114
1709693781451,651,studio_apollographql,200,OK,GraphQL 3-19,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,641,0,53
1709693781434,670,studio_apollographql,200,OK,GraphQL 3-17,text,true,,9452,175,50,100,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,662,0,49
