Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_Security_tls-observatory.services.mozilla1,1,232,232,232,0,0.00%,4.31034,14.52,0.69,3450
GraphQL_Security_tls-observatory.services.mozilla2,1,77,77,77,0,0.00%,12.98701,79.81,2,6293
GraphQL_Security_tls-observatory.services.mozilla3,1,79,79,79,0,0.00%,12.65823,42.93,2.05,3473
GraphQL_Security_tls-observatory.services.mozilla4,1,74,74,74,0,0.00%,13.51351,9.75,2.12,739
GraphQL_Security_data.police.uk2,1,102,102,102,0,0.00%,9.80392,28.7,1.24,2998
GraphQL_Security_data.police.uk3,1,174,174,174,0,0.00%,5.74713,19.31,0.85,3440
GraphQL_Transport_api.aviationapi,1,1496,1496,1496,0,0.00%,0.66845,2021.45,0.09,3096663
GraphQL_Transport_bcferriesapi.ca1,1,662,662,662,0,0.00%,1.51057,84.31,0.21,57152
GraphQL_Transport_bcferriesapi.ca2,1,709,709,709,0,0.00%,1.41044,37.8,0.55,27444
GraphQL_Transport_refugeGraphQLrooms1,1,3171,3171,3171,0,0.00%,0.31536,1.66,0.07,5380
GraphQL_Transport_refugeGraphQLrooms2,1,2969,2969,2969,0,0.00%,0.33681,0.34,0.08,1032
GraphQL_Transport_refugeGraphQLrooms3,1,30107,30107,30107,0,100.00%,0.03321,0.07,0,2093
GraphQL_Transport_refugeGraphQLrooms4,1,6656,6656,6656,0,0.00%,0.15024,0.79,0.03,5357
GraphQL_Transport_myttc.ca,1,511,511,511,0,0.00%,1.95695,13.11,0.31,6858
GraphQL_Transport_v0.ovapi1,1,1098,1098,1098,0,0.00%,0.91075,454.36,0.11,510865
GraphQL_Transport_v0.ovapi2,1,297,297,297,0,0.00%,3.367,1838.18,0.42,559041
GraphQL_Movie_anapioficeandfire1,1,289,289,289,0,0.00%,3.46021,5.55,0.49,1643
GraphQL_Movie_anapioficeandfire2,1,101,101,101,0,0.00%,9.90099,247.78,1.32,25626
GraphQL_Movie_breakingbadquotes1,1,303,303,303,0,0.00%,3.30033,1.82,0.45,566
GraphQL_Movie_breakingbadquotes2,1,46,46,46,0,0.00%,21.73913,17.62,2.99,830
GraphQL_Movie_finalspaceapi1,1,240,240,240,0,0.00%,4.16667,7.05,0.52,1732
GraphQL_Movie_finalspaceapi2,1,10112,10112,10112,0,100.00%,0.09889,0.04,0.01,433
GraphQL_Movie_gameofthronesquotes1,1,1123,1123,1123,0,0.00%,0.89047,0.6,0.12,692
GraphQL_Movie_gameofthronesquotes2,1,68,68,68,0,0.00%,14.70588,21,2.05,1462
GraphQL_Movie_lucifer-quotes1,1,343,343,343,0,0.00%,2.91545,1.69,0.4,594
GraphQL_Movie_lucifer-quotes2,1,148,148,148,0,0.00%,6.75676,7.03,0.94,1065
GraphQL_Weather_7timer1,1,181,181,181,0,0.00%,5.52486,83.49,1.11,15474
GraphQL_Weather_7timer2,1,330,330,330,0,0.00%,3.0303,24.34,1.08,8225
GraphQL_Weather_api.open-meteo1,1,680,680,680,0,0.00%,1.47059,8.63,0.37,6006
GraphQL_Weather_api.open-meteo2,1,104,104,104,0,0.00%,9.61538,124.47,2.22,13256
GraphQL_Weather_api.open-meteo3,1,895,895,895,0,0.00%,1.11732,226.26,0.25,207367
GraphQL_Weather_tilecache.rainviewer1,1,249,249,249,0,0.00%,4.01606,34.74,0.66,8858
GraphQL_Weather_tilecache.rainviewer2,1,21,21,21,0,100.00%,47.61905,23.58,8.28,507
GraphQL_Weather_api.weather.gov1,1,160,160,160,0,0.00%,6.25,22.78,0.87,3732
GraphQL_Weather_api.weather.gov2,1,301,301,301,0,100.00%,3.32226,3.28,0.48,1011
GraphQL_Weather_tilecache.rainviewer3,1,21,21,21,0,100.00%,47.61905,23.58,8.7,507
TOTAL,150,901,21,30107,2690.88,3.33%,1.10786,259.12,0.18,239504.9
