Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
GraphQL_Development__qrtag.net3,1,282,282,282,0,0.00%,3.5461,2.8,0.54,808,208,Development
GraphQL_Development_reqres.in1,1,244,244,244,0,0.00%,4.09836,7.75,0.52,1936,209,Development
GraphQL_Development__reqres.in2,1,217,217,217,0,0.00%,4.60829,7.18,0.55,1596,210,Development
GraphQL_Email_disify1,1,700,700,700,0,0.00%,1.42857,1.5,0.2,1073,211,Email
GraphQL_Email_disify2,1,108,108,108,0,0.00%,9.25926,10.35,1.51,1145,212,Email
GraphQL_Email_api.eva.pingutil1,1,2539,2539,2539,0,0.00%,0.39386,0.15,0.06,399,213,Email
GraphQL_Email_api.guerrillamail,1,1024,1024,1024,0,0.00%,0.97656,0.98,0.18,1030,214,Email
GraphQL_Email_open.kickbox.com,1,882,882,882,0,0.00%,1.13379,224.23,0.61,202513,215,Email
GraphQL_Email_mailcheck.ai1,1,492,492,492,0,0.00%,2.03252,32.19,0.28,16219,216,Email
GraphQL_Email_mailcheck.ai2,1,667,667,667,0,0.00%,1.49925,1.77,0.2,1209,217,Email
GraphQL_Email_api.eva.pingutil2,1,87,87,87,0,0.00%,11.49425,4.57,1.72,407,218,Email
GraphQL_Email_api.eva.pingutil3,1,117,117,117,0,0.00%,8.54701,3.31,1.22,397,219,Email
GraphQL_Email_api.eva.pingutil4,1,1845,1845,1845,0,0.00%,0.54201,0.21,0.08,403,220,Email
GraphQL_Finance_lookup.binlist.net1,1,817,817,817,0,0.00%,1.22399,0.96,0.16,805,221,Finance
GraphQL_Finance_lookup.binlist.net2,1,305,305,305,0,0.00%,3.27869,1.98,0.42,618,222,Finance
GraphQL_Finance_econdb.com,1,511,511,511,0,0.00%,1.95695,6.58,0.37,3445,223,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov1,1,648,648,648,0,0.00%,1.54321,16.76,0.43,11122,224,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov2,1,180,180,180,0,0.00%,5.55556,190.17,1.06,35052,225,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov3,1,180,180,180,0,0.00%,5.55556,353.78,1.04,65209,226,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov4,1,439,439,439,0,0.00%,2.2779,175.97,0.43,79105,227,Finance
GraphQL_Finance_api.mfapi.in,1,1387,1387,1387,0,0.00%,0.72098,0.52,0.09,736,228,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov5,1,108,108,108,0,0.00%,9.25926,427.3,1.68,47256,229,Finance
GraphQL_Finance_api.fiscaldata.treasury.gov6,1,111,111,111,0,0.00%,9.00901,309.39,1.72,35167,230,Finance
